rpm,M19P5360V Cont.,,,,,,,,rpm,M19P5600V Cont.,,rpm,M19P5360V Peak,,rpm,M19P5600V Peak
67.66842456,45,,,,,,,,5023.063659,45,,106.8419431,131.2211559,,5463.182934,131.17418
262.2985908,45,,,,,,,,5245.867052,45,,275.6669661,131.2228557,,5632.007957,131.1758798
390.3456219,45,,,,,,,,5414.89093,45,,444.491989,131.2245555,,5800.83298,131.1775796
620.828696,45,,,,,,,,5583.910647,45,,613.317012,131.2262553,,5969.658003,131.1792794
802.6546779,45,,,,,,,,5829.759862,45,,782.142035,131.227955,,6138.483026,131.1809792
951.1885786,45,,,,,,,,5998.781968,45,,950.967058,131.2296548,,6307.308049,131.182679
1189.355006,45,,,,,,,,6167.801609,45,,1119.792081,131.2313546,,6476.133072,131.1843788
1358.377188,45,,,,,,,,6413.651286,45,,1288.617104,131.2330544,,6644.958095,131.1860785
1527.397676,45,,,,,,,,6582.673006,45,,1457.442127,131.2347542,,6813.783118,131.1877783
1773.247353,45,,,Cont.,,Peak,,,6744.011215,45,,1626.26715,131.236454,,6982.608141,131.1894781
1942.269921,45,,rpm,P5-360V,P5-600V,P5-360V,P5-600V,,6982.177595,45,,1795.092173,131.2381538,,7151.433164,131.1911779
2111.290024,45,,0,45,45,132,132,,7151.199316,45,,1963.917196,131.2398535,,7320.258187,131.1928777
2357.138777,45,,1000,45,45,132,132,,7320.220728,45,,2132.742219,131.2415533,,7489.08321,131.1945775
2526.160959,45,,2000,45,45,132,132,,7566.069943,45,,2301.567242,131.2432531,,7657.908233,131.1962772
2687.498659,45,,3000,45,45,132,132,,7735.093744,45,,2470.392265,131.2449529,,7826.733256,131.197977
2925.665086,45,,4000,45,45,132,132,,7904.111689,45,,2639.217288,131.2466527,,7995.558278,131.1996768
3094.686422,45,,5000,45,45,116.6420308,132,,8149.961829,45,,2808.042311,131.2483525,,8164.30654,130.7335425
3263.707757,45,,6000,38.25554871,45,108.4805681,132,,8318.983087,45,,2976.867334,131.2500522,,8332.890744,129.2675276
3509.557434,45,,7000,35.45440499,45,100.3191054,132,,8488.004037,45,,3145.692357,131.251752,,8501.468927,127.7648198
3678.545257,45,,8000,32.65326126,45,92.15764262,132,,8733.853252,45,,3314.51738,131.2534518,,8670.048615,126.2712852
3640.047422,45,,8500,31.2526894,45,88.07691126,124.3885919,,8915.679619,45,,3483.342403,131.2551516,,8838.629808,124.7869238
3852.72523,45,,9330,28.92774011,43.51390385,81.30289719,117.4413124,,9064.199452,45,,3652.167426,131.2568514,,9007.191435,123.1833106
4093.44932,45,,11000,24.24983009,38.58401522,67.67325442,103.4630512,,9302.318084,44.61689652,,3820.992449,131.2585512,,9175.680815,121.139383
4262.47104,45,,12000,21.44868636,35.63198611,59.51179169,95.09283488,,9480.525207,43.95085152,,3989.817472,131.2602509,,9344.149124,118.9670303
4431.49199,45,,13000,18.64754263,32.67995699,51.35032895,86.72261859,,9624.935294,43.42830292,,4158.642494,131.2619507,,9512.612918,116.767158
4677.340743,45,,14000,15.84639891,29.72792788,43.18886622,78.3524023,,9855.372504,42.5069077,,4327.467517,131.2636505,,9681.091763,114.6590178
4859.150624,45,,15000,13.04525518,26.77589876,35.02740349,69.98218601,,10037.16413,41.82496493,,4496.29254,131.2653503,,9849.602215,112.7435152
4999.979421,45,,,,,,,,10177.98812,41.2867664,,4665.117563,131.2670501,,10018.11267,110.8280127
5245.781539,44.15652583,,,,,,,,10408.426,40.37860086,,4833.852279,130.7183568,,10186.63516,108.9858958
5427.574394,43.49900709,,,,,,,,10586.63312,39.71255586,,5002.317578,128.5276577,,10355.15464,107.1254325
