rpm,M21-P4-360V Cont,rpm,M21-P4-360V Peak,,rpm,M21-P4-360V Cont,M21-P4-600V Cont,M21-P4-360V Peak,M21-P4-600V Peak,,,rpm,M21-P4-600V Cont,rpm,M21-P4-600V Peak
72.37123803,85,78.91675719,206.2467247,,0,85,85,206,206,,,4599.766867,84.36557266,4670.362062,206.0084334
260.0353056,85,208.087769,206.2377195,,500,85,85,206,206,,,4828.48245,84.35898219,4799.530097,205.9176245
382.0169495,85,337.2587808,206.2287143,,1000,85,85,206,206,,,5057.198032,84.35239172,4928.701109,205.9086193
518.0733984,85,466.4297926,206.219709,,1500,85,85,206,206,,,5285.913614,84.34580125,5057.872121,205.8996141
717.4664702,85,595.6008044,206.2107038,,2000,85,85,206,206,,,5508.764694,84.33937977,5187.043133,205.8906088
846.4855166,85,724.7718162,206.2016986,,2500,85,85,206,206,,,5737.480277,84.33278931,5316.214144,205.8816036
975.504563,85,853.9428279,206.1926933,,3000,85,85,206,206,,,5960.331357,84.32636783,5445.385156,205.8725984
1174.897635,85,983.1138397,206.1836881,,3500,79,85,206,206,,,6189.046939,84.31977736,5574.556168,205.8635931
1303.916681,85,1112.284852,206.1746829,,4000,70.83395348,85,206,206,,,6417.762522,84.31318689,5703.72718,205.8545879
1432.935728,85,1241.455863,206.1656777,,4500,67.5756533,85,174.7405206,206,,,6646.478104,84.30659642,5832.898192,205.8455827
1620.599795,85,1370.626875,206.1566724,,5000,64.31735311,85,166.8119256,206,,,6875.193686,84.30000596,5962.069203,205.8365775
1742.581439,85,1499.797887,206.1476672,,5500,61.05905293,85,158.8833305,206,,,7103.909268,84.29341549,6081.174006,205.8025642
1878.637888,85,1628.968899,206.138662,,6000,57.80075275,85,150.9547355,206,,,7326.760349,84.28699401,6220.410632,205.8022063
2027.205275,85,1758.13991,206.1296567,,6500,54.54245256,85,143.0261405,206,,,7555.475931,84.28040354,6349.582239,205.8095618
2124.946977,85,1887.310922,206.1206515,,6740,52.97846847,85,139.2204149,200.9754835,,,7784.191513,84.27381307,6478.750274,205.7187528
2300.88204,85,2016.481934,206.1116463,,7500,48.0258522,85,127.1689505,188.2524223,,,8012.907096,84.2672226,6607.884371,204.6953817
2411.11359,85,2145.652946,206.102641,,8000,44.76755201,85,119.2403555,179.8819874,,,8235.758176,84.26080112,6737.008943,203.4102387
2394.624849,85,2274.823958,206.0936358,,8500,41.50925183,85,111.3117605,171.5115524,,,8464.473758,84.25421066,6866.133515,202.1250957
2588.24315,85,2403.994969,206.0846306,,9000,38.25095164,85,103.3831654,163.1411175,,,8693.18934,84.24762019,6995.259277,200.8726742
2758.313205,85,2533.165981,206.0756254,,9500,34.99265146,80.64841079,95.45457042,154.7706825,,,8921.904923,84.24102972,7124.383849,199.5875312
