rpm,M21-P5-360V Cont,rpm,M21-P5-360V Peak,,rpm,M21-P5-360V Cont,M21-P5-600V cont,M21-P5-360V Peak,M21-P5-600V Peak,,rpm,M21-P5-600V Cont,rpm,M21-P5-600V Peak
53.35497211,85.43525654,172.3393916,206.2239895,,0,85,85,206,206,,5350.014524,84.99692019,3863.746355,206.2483486
205.8224773,85.1545632,304.6046608,206.2225016,,500,85,85,206,206,,5482.429893,84.96114376,3996.008083,206.1809766
306.1399954,85.19053328,436.86993,206.2210137,,1000,85,85,206,206,,5614.846499,84.95279055,4128.273352,206.1794888
486.7084284,85.18653851,569.1351992,206.2195259,,1500,85,85,206,206,,5807.454136,84.97753716,4260.538621,206.1780009
611.899905,85.12529029,701.4004684,206.218038,,2000,85,85,206,206,,5939.868145,84.91159517,4392.803891,206.176513
751.5426301,85.19177069,833.6657376,206.2165501,,2500,85,85,206,206,,6050.214514,84.88680906,4525.06916,206.1750252
904.0197805,85.12497857,965.9310068,206.2150623,,3000,85,85,206,206,,6264.893748,84.95815412,4657.334429,206.1735373
1004.337299,85.16094865,1098.196276,206.2135744,,3500,62.85760153,85,170.6215266,206,,6390.086115,84.91665062,4789.599698,206.1720494
1184.905732,85.15695388,1230.461545,206.2120865,,4000,59.94860552,85,162.7302355,206,,6529.726466,84.93047843,4921.864967,206.1705616
1317.320483,85.10746583,1362.726814,206.2105987,,4500,57.03960952,85,154.8389444,206,,6682.207079,84.94047135,5054.130237,206.1690737
1449.739191,85.14573212,1494.992084,206.2091108,,5000,54.13061351,85,146.9476533,206,,6782.521877,84.91611032,5186.376914,205.8216941
1642.345344,85.13757085,1627.257353,206.2076229,,5500,51.22161751,85,139.0563622,190.1973995,,6963.091052,84.92856949,5318.527974,203.6954424
1767.536821,85.07632262,1759.522622,206.2061351,,6000,48.3126215,85,131.1650711,182.1184107,,7095.483298,84.37997861,5450.663983,201.2891831
1907.179546,85.14280303,1891.787891,206.2046472,,6500,45.4036255,85,123.27378,174.039422,,7227.87406,83.79847985,5582.79468,198.7840976
2059.656696,85.07601091,2024.05316,206.2031594,,6740,44.00730742,85,119.4859602,170.1615074,,7420.436438,82.81953614,5714.925378,196.2790121
2159.974214,85.11198098,2156.31843,206.2016715,,7500,39.58563349,80.56746132,107.4911977,157.8814445,,7552.818174,82.03784778,5847.058731,193.8233397
2340.542647,85.10798621,2288.583699,206.2001836,,8000,36.67663748,77.1271119,99.59990664,149.8024558,,7679.165633,80.91636638,5979.185887,191.25237
2475.959797,84.90150975,2420.848968,206.1986958,,8500,33.76764148,73.68676249,91.70861553,141.723467,,7865.671231,79.09852679,6109.928435,187.7773384
2608.395796,85.32324425,2553.114237,206.1972079,,9000,30.85864547,70.24641308,83.81732442,133.6444783,,8005.25193,77.78945786,6237.323317,184.1603275
2797.98226,85.08860318,2685.379506,206.19572,,9500,27.94964947,66.80606367,75.92603332,125.5654896,,8124.381284,76.77084539,6363.372369,180.3606861
2923.172104,84.99115629,2817.644776,206.1942322,,10000,25.04065346,63.36571425,68.03474221,117.4865008,,8310.886733,74.94971502,6495.441977,176.719099
3056.74039,83.82713706,2949.910045,206.1927443,,10500,22.13165745,59.92536484,60.1434511,109.4075121,,8450.469213,73.68013554,6627.52044,173.2422223
3219.08267,80.06875277,3082.105372,204.8900445,,11000,19.22266145,56.48501543,52.25215999,101.3285233,,8569.600199,72.69772174,6759.605099,169.8806428
3368.549581,76.80688375,3214.272368,203.0602715,,11500,16.31366544,53.04466601,44.36086889,93.24953459,,8756.117074,71.12998204,6891.688873,166.5025923
3466.477918,74.7083788,3346.439365,201.2304985,,12000,13.40466944,49.6043166,36.46957778,85.17054585,,8895.707716,70.0413959,7023.777074,163.206897
3615.959667,71.77558857,3478.59131,199.1207179,,12500,10.49567343,46.16396719,28.57828667,77.09155711,,9008.819578,69.05521506,7155.885638,160.2900356
