rpm,M24-P4-360V Cont,,rpm,M24-P4-360V Cont,M24-P4-600V Cont,M24-P4-360V Peak,M24-P4-600V Peak,,rpm,M24-P4-600V Cont,,rpm,M24-P4-360V Peak,rpm,M24-P4-600V Peak
54.30797895,162.0581155,,0,162,162,368,368,,4074.504135,162.4917711,,80.39663434,368.7969542,3299.650825,369.0084619
195.2633132,162.0361275,,500,162,162,368,368,,4159.656296,162.2063406,,177.1504574,368.794662,3396.404648,369.0061697
284.8263799,161.9471659,,1000,162,162,368,368,,4318.232754,162.2372333,,273.9042805,368.7923698,3493.158471,369.0038775
389.0788062,162.0680678,,1500,162,162,368,368,,4420.423383,162.1565005,,370.6581035,368.7900776,3589.912294,369.0015853
500.6639927,161.9055888,,2000,162,162,368,368,,4507.641761,162.2166858,,467.4119266,368.7877854,3686.666117,368.9992931
574.0835585,162.0677503,,2500,162,162,368,368,,4653.002778,162.2210072,,564.1657497,368.7854932,3783.41994,368.9970009
715.0390713,162.0515798,,3088,145.2594479,162,314.1114663,368,,4749.907913,162.1518976,,660.9195727,368.783201,3880.173763,368.9947087
811.9391839,161.8188553,,3300,141.7277537,162,306.3365596,368,,4846.817467,162.226769,,757.6733958,368.7809088,3976.927586,368.9924165
908.8545643,162.0835201,,4000,130.0664994,162,280.664698,368,,4996.58256,162.205043,,854.4272189,368.7786166,4073.681409,368.9901243
1049.809095,162.0353537,,4500,121.737032,162,262.3276539,368,,5093.488499,162.1621118,,951.1810419,368.7763244,4170.435232,368.9878321
1139.371492,161.9245768,,5000,113.4075646,162,243.9906099,368,,5190.398053,162.2369833,,1047.934865,368.7740322,4267.189055,368.9855399
1243.626195,162.1196508,,5215,109.8258936,162,236.105681,352.505337,,5348.968083,162.0584488,,1144.688688,368.77174,4363.942878,368.9832477
1355.210578,161.9309934,,5540,104.4117398,157.0223471,224.1866023,339.5282801,,5461.736851,162.1874574,,1241.442511,368.7694478,4460.696701,368.9809555
1428.630144,162.0931549,,6500,88.41916248,139.6095227,188.9794778,301.1960502,,5533.951139,161.351315,,1338.196334,368.7671556,4557.450524,368.9786633
1569.585657,162.0769844,,6740,84.42101814,135.2563165,180.1776967,291.6129927,,5674.799778,157.8534193,,1434.950157,368.7648634,4654.204347,368.9763711
1666.487242,161.8922536,,7500,71.76022772,121.4711638,152.3053897,261.2666441,,5786.307019,155.1516369,,1531.70398,368.7625712,4750.958171,368.9740789
1763.40115,162.1089246,,8000,63.43076034,112.4019844,133.9683457,241.3019411,,5855.264127,153.4379136,,1628.457803,368.760279,4847.711994,368.9717867
1904.356484,162.0869367,,8500,55.10129296,103.332805,115.6313017,221.337238,,5991.715643,150.192581,,1725.211626,368.7579868,4944.466669,368.9433331
