rpm,M24-P5-360V  Cont,,rpm,M24-P5-360V Peak,rpm,M24-P5-600V Peak,,rpm,M24-P5-360V Cont,M24-P5-600V Cont,M24-P5-360V Peak,M24-P5-600V Peak,,rpm,M24-P5-600V Cont
34.16755414,162.4926149,,37.8626792,368.8489214,2950.496311,368.6817946,,0,162,162,368,368,,3534.079125,161.7507112
135.2400932,161.7725463,,135.8411806,368.893582,3048.474812,368.6744222,,500,162,162,368,368,,3676.813294,161.7681259
233.377827,161.9743814,,233.8196819,368.8862097,3146.453313,368.6670499,,1000,162,162,368,368,,3769.58105,161.5548559
376.1109033,161.9658319,,331.7981833,368.8788373,3244.431815,368.6596775,,1500,162,162,368,368,,3873.070181,161.7304063
466.7971352,161.7526867,,429.7766847,368.871465,3342.410316,368.6523052,,2000,162,162,368,368,,3986.059549,161.5418893
572.3710692,162.0060046,,527.755186,368.8640926,3440.388818,368.6449328,,2500,139.1423123,162,302.6411982,368,,4060.389006,161.2835653
685.3591621,161.7871962,,625.7336874,368.8567203,3538.367319,368.6375605,,3088,129.3930816,162,280.7441245,368,,4203.090143,160.5162872
764.1661268,161.9347989,,723.7121888,368.8493479,3636.34582,368.6301882,,3300,125.8780528,162,272.8492612,368,,4301.197638,159.9997821
902.4391224,161.9343058,,821.6906901,368.8419756,3734.324322,368.6228158,,4000,114.2718258,162,246.7813162,368,,4399.294568,159.2322908
1000.557365,161.6731144,,919.6691915,368.8346032,3832.302823,368.6154435,,4500,105.9816637,150.647054,228.1613556,327.346278,,4541.950043,157.3802904
1098.699288,161.9744785,,1017.647693,368.8272309,3930.281324,368.6080711,,5000,97.69150157,141.7920024,209.5413949,307.51477,,4647.382256,154.2669303
1211.689385,161.8032709,,1115.626194,368.8198586,4028.259826,366.9616614,,5215,94.12673185,137.9843302,201.5348118,298.9872216,,4729.052218,151.7867881
1286.033536,161.8940198,,1213.604696,368.8124862,4126.238327,361.829045,,5540,88.73812646,132.2285466,189.4318374,286.0967414,,4862.686323,147.546625
1419.846524,161.9033141,,1311.583197,368.8051139,4224.216829,356.4102476,,6500,72.82101516,115.2268475,153.681513,248.0202461,,4975.526865,143.8226633
1512.611875,161.6329231,,1409.561698,368.7977415,4322.19533,350.9134008,,6740,68.84173733,110.9764227,144.7439319,238.5011223,,5040.878922,142.2207163
1616.10669,161.9434868,,1507.5402,368.7903692,4420.173831,345.6507021,,7500,56.24069088,97.51674419,116.4415917,208.3572302,,5174.530202,138.3885605
1729.094783,161.7246783,,1605.518701,368.7829968,4518.152333,339.9197071,,8000,47.95052874,88.66169255,97.821631,188.5257223,,5288.577419,135.0738948
1803.440938,161.863028,,1703.497202,368.7756245,4607.223697,334.0882071,,8500,39.66036661,79.80664091,79.20167035,168.6942143,,5361.676824,133.8509315
1946.175836,161.8977521,,1801.475704,368.7682521,4691.841494,328.3137003,,9000,31.37020447,70.95158927,60.58170969,148.8627064,,5495.356105,130.6839511
2044.294989,161.6581974,,1899.454205,368.7608798,4785.366427,321.7661233,,,,,,,,5600.813638,128.1720926
2142.432723,161.8600325,,1997.432707,368.7535074,4883.344929,315.0465025,,,,,,,,5682.514992,126.437697
2218.904959,155.9927437,,2095.411208,368.7461351,4981.32343,308.5350135,,,,,,,,5816.189658,123.1610904
2301.630969,159.4259384,,2193.389709,367.2298077,5079.301931,302.6999526,,,,,,,,5919.565339,120.6415674
2402.958815,158.0432189,,2282.461074,360.7507867,5177.280433,297.3592046,,,,,,,,6007.80689,118.8655259
2473.21491,155.2063754,,2358.171734,354.4530797,5271.918758,292.7764374,,,,,,,,6154.880148,116.0006585
2614.815245,151.8355346,,2429.428826,348.6883226,5373.237435,287.3541366,,,,,,,,6258.287088,114.2237086
2720.277332,149.4318598,,2509.593055,342.1573608,5471.215937,282.4036356,,,,,,,,6346.535852,112.6190302
2801.976683,147.6498634,,2589.757283,335.6192445,5569.194438,277.5572004,,,,,,,,6484.700097,110.0351093
2935.65645,144.4944226,,2665.467943,329.4328302,5667.17294,272.5806829,,,,,,,,6588.112065,108.3775943
3041.078097,141.1300762,,2745.632172,322.9718237,5765.151441,267.6561983,,,,,,,,6676.372851,107.058521
3122.729357,138.2056594,,2825.7964,316.3836257,5863.129942,262.8097632,,,,,,,,6823.475838,104.899877
3247.399776,132.947661,,2905.960628,309.8272256,5961.108444,257.911295,,,,,,,,6926.898736,103.502003
3358.087142,128.5308324,,2986.124857,303.2072297,6059.086945,253.5851892,,,,,,,,7015.157118,102.1258087
3421.06644,126.06541,,3061.835517,296.8061795,6157.065446,249.8314456,,,,,,,,7162.265788,100.102178
3541.303653,121.4538963,,3133.092609,290.5763781,6255.043948,246.0516856,,,,,,,,7260.342134,98.84569619
3654.151846,117.9116833,,3208.803269,284.111732,6353.022449,242.2719256,,,,,,,,7353.959418,97.62150393
3719.48501,115.8609284,,3284.513929,277.6510607,6451.00095,238.4141161,,,,,,,,7501.07104,95.66797635
3853.125673,111.7765498,,3355.771021,271.4212594,6548.979452,234.9465537,,,,,,,,7604.500932,94.43627256
3965.967672,108.0872069,,3427.028113,265.2630033,6646.957953,231.6350901,,,,,,,,7697.225188,93.18963152
4035.775773,106.381291,,3507.192341,258.6032599,6744.936455,228.4276923,,,,,,,,7839.877384,91.25973879
4164.999062,103.319516,,3599.727593,252.4116049,6842.914956,225.1942781,,,,,,,,7943.304435,89.96052835
4270.461696,100.9288232,,3698.695776,245.9838722,6940.893457,221.9608639,,,,,,,,8031.57484,88.86993906
