rpm,M27-P4-360V Cont.,rpm,M27-P4-360V Peak,,rpm,M27-P4-360V Cont,M27-P4-600V Cont,M27-P4-360V Peak,M27-P4-600V Peak,,,rpm,M27-P4-600V Cont,rpm,M27-P4-600V Peak
45.88862297,214.1923372,33.72747771,581.6418266,,0,215,215,581,581,,,3417.19527,213.5140485,2297.514199,581.8034663
153.4832558,214.1648895,108.7375656,581.9228107,,500,215,215,581,581,,,3531.952689,213.2576005,2372.519005,581.7993766
242.6330944,214.1421472,183.7423723,581.918721,,1000,215,215,581,581,,,3646.720298,213.228323,2447.523812,581.7952869
301.0416094,214.1272471,258.747179,581.9146313,,1500,215,215,581,581,,,3735.865769,213.1082219,2522.528619,581.7911972
390.1914481,214.1045048,333.7519858,581.9105416,,2000,215,215,581,581,,,3794.274284,213.0933218,2597.533426,581.7871075
504.9590564,214.0752274,408.7567925,581.9064519,,2500,169.5005961,215,439.4569727,581,,,3883.42849,213.1679383,2672.538232,581.7830178
619.7266648,214.0459499,483.7615993,581.9023623,,3000,157.0154199,215,402.9542326,581,,,3998.196098,213.1386608,2747.543039,581.7789282
708.8765034,214.0232076,558.766406,581.8982726,,3590,142.282912,215,359.8809992,524.4677691,,,4112.920913,212.155267,2815.729227,581.7752103
767.2850184,214.0083075,633.7712127,581.8941829,,4000,132.0450675,215,329.9487523,492.2554561,,,4227.582557,209.7634157,2911.1882,581.6787816
856.434857,213.9855652,708.7760195,581.8900932,,4265,125.4279242,215,310.6023,471.4353026,,,4316.678249,208.5334241,2986.194697,581.7659155
964.0254143,213.8672493,783.7808262,581.8860035,,5000,107.0747152,182.6032345,256.943272,413.6888391,,,4375.048337,207.6617664,3061.199504,581.7618258
1054.88718,213.9349396,858.7856329,581.8819138,,5500,94.58953899,168.6800464,220.4405319,374.4055306,,,4460.491925,204.9697113,3136.20093,581.5752889
1055.229391,200.240854,933.7904397,581.8778242,,6000,82.1043628,154.7568583,183.9377917,335.1222221,,,4571.450883,199.9880209,3211.154194,578.788879
1111.05961,213.5665984,1008.795246,581.8737345,,6500,69.61918662,140.8336701,147.4350516,295.8389136,,,4682.41258,195.067414,3286.108302,576.0480808
1200.737682,213.8977328,1083.800053,581.8696448,,7000,57.13401043,126.910482,110.9323115,256.5556051,,,4789.783057,190.042214,3361.05903,573.1248355
1289.887521,213.8749905,1158.80486,581.8655551,,7350,48.3943871,117.1642503,85.38039336,229.0572891,,,4904.357892,185.7148695,3436.005533,569.9735311
1348.292833,213.7886939,1233.809667,581.8614654,,,,,,,,,5018.928244,181.28757,3510.933447,565.8187669
1437.445874,213.8373481,1308.814473,581.8573757,,,,,,,,,5126.348035,177.3618755,3582.351669,556.2455059
1552.213483,213.8080706,1383.81928,581.853286,,,,,,,,,5240.938561,173.3843736,3653.748428,545.5137049
1666.981091,213.7787932,1458.824087,581.8491964,,,,,,,,,5355.526845,169.3568943,3725.151355,535.1148702
1756.13093,213.7560509,1533.828894,581.8451067,,,,,,,,,5470.142027,165.9291452,3796.550733,524.5244659
1814.539445,213.7411507,1608.8337,581.841017,,,,,,,,,5574.031121,163.2482507,3871.357816,513.8472132
1903.689283,213.7184084,1683.838507,581.8369273,,,,,,,,,5806.841498,156.2474581,3946.191937,504.6295384
2018.456892,213.689131,1758.819654,580.555707,,,,,,,,,5921.447715,152.6197989,4021.028594,495.548699
2133.2245,213.6598535,1833.728134,575.3518713,,,,,,,,,6036.10997,150.2415778,4095.853421,485.8292943
2222.313496,212.2805784,1908.623094,569.4182466,,,,,,,,,6154.359936,147.8897023,4170.691767,476.8396785
2277.903416,208.8250484,1983.521434,563.6670692,,,,,,,,,6272.582799,144.9335531,4245.539408,468.3517926
2362.311406,203.6057938,2058.421463,558.0071153,,,,,,,,,6383.668959,142.7879609,4320.393809,460.2288012
2458.859656,197.1839679,2123.035261,549.2005045,,,,,,,,,6498.312263,139.9872025,4395.254125,452.4250924
2566.140471,190.1596669,2177.356491,536.905148,,,,,,,,,6612.967794,137.4590489,4470.116976,444.758219
2673.405596,182.7855233,2231.680044,524.735224,,,,,,,,,6727.629438,135.0671976,4544.975602,436.8632866
2769.946307,176.1955912,2286.007082,512.7534487,,,,,,,,,6816.687576,132.9999202,4619.855352,430.1086494
2858.847827,170.6363777,2340.335283,500.8343897,,,,,,,,,6873.320993,131.48613,4694.745242,423.9013539
2925.2683,166.4783915,2387.193907,490.5839915,,,,,,,,,6956.93348,129.854395,4769.629217,417.3747757
2984.5491,163.0647583,2442.199787,478.4391168,,,,,,,,,7075.173755,127.286455,4820.705696,413.9625047
3091.898792,157.5761304,2503.358224,467.1468483,,,,,,,,,7189.869634,125.6578968,4953.437028,401.4462166
3180.837575,152.8477121,2571.329704,455.5531701,,,,,,,,,7304.536372,123.3796308,5028.336213,395.7406509
3236.455034,150.0061917,2639.303043,444.0598379,,,,,,,,,,,5103.223568,389.39652
3320.917319,145.9975038,2707.268945,432.1651217,,,,,,,,,,,5178.115993,383.3260599
3421.160784,141.9989253,2768.437762,421.4331183,,,,,,,,,,,5253.009263,377.3012116
3511.870395,138.6742017,2811.425784,410.8202716,,,,,,,,,,,5327.921967,372.3254349
3557.221533,136.9300586,2892.18116,405.0696847,,,,,,,,,,,5402.838896,367.5777172
3653.888586,133.1570414,2953.207079,404.8253245,,,,,,,,,,,5477.75498,362.7843878
3757.738396,129.6002782,2989.471176,390.5608463,,,,,,,,,,,5552.66853,357.8542229
3846.749084,126.4750351,3064.290088,380.522159,,,,,,,,,,,5627.582924,352.9696698
3905.08715,124.8894127,3139.109845,370.5290834,,,,,,,,,,,5702.496473,348.0395049
3990.50512,121.6261859,3213.966781,362.5429274,,,,,,,,,,,5777.410868,343.1549518
4101.523626,117.9721812,3288.829632,354.876054,,,,,,,,,,,5852.325262,338.2703987
4219.739968,114.8706428,3363.690792,347.1179571,,,,,,,,,,,5927.241346,333.4770692
