rpm,M27-P5-360V Cont,rpm,M27-P5-360V Peak,,rpm,M27-P5-360V Cont,M27-P5-600V Cont,M27-P5-360V Peak,M27-P5-600V Peak,,rpm,M27-P5-600V Cont,rpm,M27-P5-600V Peak
47.30889362,215.8614382,28.64711519,580.8975167,,0,215,215,581,581,,2512.895699,215.9387252,1719.946515,580.9901424
148.3871228,215.7766964,108.1526425,580.9018709,,500,215,215,581,581,,2610.363991,215.8918072,1799.452043,580.9944966
239.838854,215.8740116,187.6581699,580.9062251,,1000,215,215,581,581,,2725.881967,215.8536798,1878.95757,580.9988508
292.7845931,215.8056999,267.1636972,580.9105793,,1500,215,215,581,581,,2815.614681,215.6116095,1958.463097,581.003205
386.6429488,215.8835988,346.6692246,580.9149335,,2000,164.8472604,215,427.5839323,581,,2866.669501,215.8780979,2037.968625,581.0075592
476.3756625,215.8894589,426.174752,580.9192877,,2500,152.104033,215,394.1962638,581,,2964.137793,215.9149108,2117.474152,581.0119134
535.1660611,215.8215289,505.6802793,580.9236419,,3000,139.3608056,215,360.8085954,499.0928975,,3079.65577,215.9224548,2196.979679,581.0162676
624.8987747,215.8991583,585.1858067,580.9279961,,3590,124.3237973,192.3883308,321.4111466,457.087776,,3195.173746,215.9299989,2276.485207,581.0206218
733.1968775,215.8148881,664.691334,580.9323503,,4000,113.8743508,181.0983825,294.0332584,427.8977763,,3307.081785,215.1197892,2355.990734,581.024976
824.6486086,215.9122032,744.1968614,580.9367045,,4265,107.1204403,173.8012209,276.3377941,409.0310691,,3422.599761,210.4551497,2435.496261,581.0293302
877.5943477,215.8438916,823.7023887,580.9410587,,5000,88.38789603,153.5619235,227.2579215,356.702655,,3538.117738,205.388602,2515.001789,581.0336844
971.4527034,215.9217904,903.2079161,580.9454129,,5500,75.64466863,139.7936939,193.870253,321.1050944,,3650.025777,200.5227727,2594.497114,579.8060517
1061.185417,215.3475151,982.7134434,580.9497671,,6000,62.90144124,126.0254644,160.4825846,285.5075338,,3761.933817,194.9033654,2673.97317,576.2513326
1133.298201,217.7854042,1062.218971,580.9541213,,6500,50.15821384,112.2572348,127.0949161,249.9099732,,3873.841856,189.7132692,2753.449225,572.6966136
1203.520066,216.6187545,1141.724498,580.9584755,,7000,37.41498644,98.48900527,93.70724762,214.3124125,,3978.530022,184.0659875,2832.925659,569.1875237
1318.006632,215.8530797,1221.230025,580.9628297,,7350,28.49472726,88.85124459,70.33587969,189.3941201,,4083.218188,179.3595365,2912.394745,564.7912004
1409.458363,215.9503949,1300.735553,580.9671839,,,,,,,,4172.950902,175.6529649,2980.262283,555.9129548
1462.404102,215.8820832,1380.24108,580.9715381,,,,,,,,4231.7413,174.1496483,3044.504186,545.6159519
1556.262458,215.6859537,1459.74094,580.2914551,,,,,,,,4317.864077,170.67446,3107.295131,534.6663731
1645.995172,215.1046102,1539.172788,571.3981262,,,,,,,,4433.382053,166.4619674,3175.862755,523.0478835
1704.78557,214.7496029,1618.587632,560.4514857,,,,,,,,4545.290093,162.7196543,3240.819631,511.8084248
1794.518284,214.742414,1698.000966,549.3223287,,,,,,,,4653.588196,158.9816726,3305.781494,501.1712709
1899.20645,207.4820188,1777.415811,538.3756883,,,,,,,,4769.106172,154.9701341,3381.588951,491.0092538
1946.135628,214.9806726,1842.379315,527.9366952,,,,,,,,4884.624148,150.9585955,3461.012486,481.1120837
1993.064806,198.1035905,1892.877554,516.3235896,,,,,,,,4992.922251,147.1749425,3540.430353,470.5304764
2090.533098,188.409352,1943.372229,504.2802663,,,,,,,,5082.654965,144.2774069,3619.854267,460.6789355
2180.781517,178.8744918,1990.261429,493.2525368,,,,,,,,5141.445363,142.5587823,3699.276668,450.6448779
2281.859746,171.5462671,2037.148056,481.9140946,,,,,,,,5231.178077,139.974422,3778.704738,441.2952575
2386.547912,164.3598595,2087.643919,470.0141772,,,,,,,,5339.47618,137.0128539,3858.133563,432.0368954
2498.455952,157.2424305,2134.530843,458.7115864,,,,,,,,5454.994156,134.2801144,3937.562388,422.7785333
2603.144118,151.0379579,2181.41737,447.3611937,,,,,,,,5639.822918,128.5101865,4016.991591,413.5658004
2707.832284,145.5002876,2236.055266,436.8955613,,,,,,,,5700.469855,127.5954997,4096.432507,405.7675709
2823.35026,139.4289692,2304.098162,424.2556749,,,,,,,,5805.158021,126.3104885,4175.879468,398.6994077
2920.818552,134.5909046,2365.443679,413.3213534,,,,,,,,5920.675997,123.052528,4255.325296,391.4943571
3047.166339,129.1949252,2426.78885,402.3452051,,,,,,,,6032.584037,121.7125301,4334.773769,384.6087105
3151.854505,124.8888601,2495.353379,390.3530635,,,,,,,,6148.102013,119.3451617,4414.221109,377.5861765
3263.762544,120.7689969,2567.528055,377.9093913,,,,,,,,6260.010053,118.0005968,4493.670715,370.8374173
3350.401026,129.6668751,2643.337212,367.9527054,,,,,,,,6389.967776,115.3966802,4573.122966,364.4080622
3379.28052,116.5565042,2722.75848,357.7817604,,,,,,,,6494.655942,113.8872267,4652.571439,357.5224156
3465.919003,129.6744191,2802.178992,347.5195571,,,,,,,,6613.783855,111.7438839,4732.024068,351.1386896
3494.798497,112.8966354,2881.597616,337.0292081,,,,,,,,6729.301831,109.9428408,4811.478587,344.9831093
3610.316473,108.7343813,2950.199892,329.5954181,,,,,,,,6844.819807,107.991082,4890.939151,339.5575953
3585.046916,129.6821989,3040.46509,319.6988417,,,,,,,,6960.337783,105.8886077,4970.40236,334.4514853
3715.004639,104.7997769,3119.908651,312.2200162,,,,,,,,7075.85576,104.0373261,5049.86708,329.527892
3806.45637,101.9817348,3199.348433,304.2848993,,,,,,,,7194.983673,102.0584003,5139.639543,322.4733312
3855.792172,100.980186,3278.789727,296.532299,,,,,,,,7310.501649,100.4217741,5208.790475,318.9506389
3949.650528,98.25668865,3358.238956,289.7379107,,,,,,,,,,5288.254439,313.9357872
4065.168504,95.19968223,3437.690451,283.2172972,,,,,,,,,,5367.721049,309.2403395
4177.076544,92.49867691,3517.143458,276.8792004,,,,,,,,,,5447.185391,304.271117
4292.59452,89.85728016,3596.594954,270.3585869,,,,,,,,,,5526.653512,299.7581859
4382.327234,87.96451521,3676.048339,264.0661192,,,,,,,,,,5606.125789,295.7471754
4441.117632,87.17889194,3755.512681,259.0968967,,,,,,,,,,5685.5992,291.8730523
4530.850346,85.39704323,3834.977402,254.1733033,,,,,,,,,,5765.071477,287.8620418
4639.148449,83.71427422,3899.996827,250.4874236,,,,,,,,,,5844.543754,283.8510313
4728.881162,82.03029278,4022.802451,242.4569049,,,,,,,,,,5924.01792,280.0681666
4779.935982,81.36377988,4102.272839,238.2177487,,,,,,,,,,6003.495865,276.7415932
4877.404275,79.48239425,4181.742471,233.8873342,,,,,,,,,,6082.971165,273.0956159
4992.922251,77.480397,4261.212481,229.6025488,,,,,,,,,,6162.446465,269.4496385
5082.654965,75.80946453,4340.681736,225.2265052,,,,,,,,,,6241.922898,265.9405486
5141.445363,75.09561059,4420.150612,220.8048324,,,,,,,,,,6321.404243,263.0246376
5231.178077,74.34463046,4499.623645,216.8850802,,,,,,,,,,6400.882188,259.6980642
5339.47618,73.43827513,4579.095922,212.8740697,,,,,,,,,,6480.3624,256.6452658
5429.208893,71.81301405,4658.569333,208.9999466,,,,,,,,,,6559.841856,253.501209
5476.653776,71.52903517,4738.041232,204.943307,,,,,,,,,,6639.323579,250.6309271
5577.732005,70.39385138,4817.518421,201.5254753,,,,,,,,,,6707.966048,248.0509373
5693.249982,69.44229616,4896.998255,198.4270477,,,,,,,,,,6805.506488,243.886918
5805.158021,67.53140594,4976.476955,195.1917327,,,,,,,,,,6884.994408,241.7649541
5924.285934,66.89978622,5055.957167,192.1389342,,,,,,,,,,6964.469935,238.1463542
6039.80391,65.44584568,5135.437001,189.0405066,,,,,,,,,,7043.952791,235.4129598
6155.321887,63.71787679,5214.919858,186.3071121,,,,,,,,,,7123.435648,232.6795653
6274.4498,63.04058567,5294.403092,183.6193468,,,,,,,,,,7202.922283,230.4024623
6389.967776,61.54097374,5373.887461,181.0684689,,,,,,,,,,7282.406651,227.8515844
6509.095689,59.90458338,5453.369562,178.2438162,,,,,,,,,,7336.601174,226.1890894
6624.613665,59.31839931,5532.854308,175.7385674,,,,,,,,,,,
6740.131641,57.6361018,5612.33792,173.0964313,,,,,,,,,,,
6855.649617,55.9538043,5691.820399,170.3174077,,,,,,,,,,,
6974.77753,55.55054155,5771.304389,167.7209006,,,,,,,,,,,
7093.905443,54.14250815,5850.789135,165.2156519,,,,,,,,,,,
7209.42342,53.73900965,5930.276148,162.984178,,,,,,,,,,,
7319.887484,53.51329952,6009.768073,161.345883,,,,,,,,,,,
,,6089.25962,159.6619589,,,,,,,,,,,
,,6168.750412,157.8867765,,,,,,,,,,,
,,6248.239314,155.8834483,,,,,,,,,,,
,,6327.726705,153.6976036,,,,,,,,,,,
,,6407.214851,151.6030171,,,,,,,,,,,
,,6486.702242,149.4171724,,,,,,,,,,,
,,6566.190389,147.322586,,,,,,,,,,,
,,6645.68118,145.5474036,,,,,,,,,,,
,,6725.177261,144.4110291,,,,,,,,,,,
,,6804.669186,142.7727342,,,,,,,,,,,
,,6884.165645,141.6819889,,,,,,,,,,,
,,6855.149882,129.0411326,,,,,,,,,,,
,,6963.659837,140.3174688,,,,,,,,,,,
,,7024.554018,137.2245417,,,,,,,,,,,
,,7056.162665,138.7893962,,,,,,,,,,,
,,7122.640413,136.6454262,,,,,,,,,,,
,,7202.13327,135.1196831,,,,,,,,,,,
,,7281.628293,133.8555471,,,,,,,,,,,
,,7335.824729,132.4240496,,,,,,,,,,,
